suj,trial_id,is_trial,trial_name,trial_type,response,dur,ojoDI,blink,amp_sacada,pupila,gaze,nf,fixX,fixY,targetSide,tX1,tY1,tX2,tY2,tX3,tY3,fixStart,fixEnd,fixMid,timeline,score
2019_07_13_16_38_07,0,1,0-test-02-same1,same,S,60,1,0,1.09369,3.16047,341,5,764,296.5,181,613,677,1125,677,0,0,1845255.00,1845315.00,1845285.00,294.00,28
2019_07_13_16_38_07,0,1,0-test-02-same1,same,S,47,1,0,0.749094,3.19511,341,5,741.625,318.5,181,613,677,1125,677,0,0,1845322.00,1845369.00,1845345.50,361.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,194,0,0,0,3.04656,1624,16,985.1,409.933,181,613,677,1125,677,0,0,1846615.00,1846809.00,1846712.00,0.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,47,0,0,7.06444,2.94452,1624,16,717.75,279.625,181,613,677,1125,677,0,0,1846863.00,1846910.00,1846886.50,248.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,113,0,0,0.86903,2.96376,1624,16,726.111,315.056,181,613,677,1125,677,0,0,1846917.00,1847030.00,1846973.50,302.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,47,0,0,10.2991,3.01918,1624,16,1158.5,258.25,181,613,677,1125,677,0,0,1847071.00,1847118.00,1847094.50,456.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,188,0,0,0.0987703,2.92833,1624,16,1156.48,261.862,181,613,677,1125,677,0,0,1847124.00,1847312.00,1847218.00,509.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,215,0,0,0.713203,2.97616,1624,16,1175.61,238.909,181,613,677,1125,677,0,0,1847318.00,1847533.00,1847425.50,703.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,53,0,0,0.144788,2.98639,1624,16,1179.22,243.778,181,613,677,1125,677,0,0,1847540.00,1847593.00,1847566.50,925.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,127,0,0,7.70094,2.97266,1624,16,854.7,245.05,181,613,677,1125,677,0,0,1847640.00,1847767.00,1847703.50,1025.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,87,0,0,0.321852,2.98818,1624,16,853.286,231.643,181,613,677,1125,677,0,0,1847774.00,1847861.00,1847817.50,1159.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,53,0,0,0.487592,3.05863,1624,16,853.667,211.222,181,613,677,1125,677,0,0,1847868.00,1847921.00,1847894.50,1253.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,114,0,0,2.04394,3.00192,1624,16,769.556,227.389,181,613,677,1125,677,0,0,1847941.00,1848055.00,1847998.00,1326.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,73,0,0,2.00784,2.93116,1624,16,762.75,311.25,181,613,677,1125,677,0,0,1848062.00,1848135.00,1848098.50,1447.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,80,0,0,9.71597,3.06799,1624,16,1172.31,277.846,181,613,677,1125,677,0,0,1848216.00,1848296.00,1848256.00,1601.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,87,0,0,1.60287,2.97254,1624,16,1239.36,281.643,181,613,677,1125,677,0,0,1848303.00,1848390.00,1848346.50,1688.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,80,0,0,0.846249,3.06313,1624,16,1215.23,307.615,181,613,677,1125,677,0,0,1848397.00,1848477.00,1848437.00,1782.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,66,0,0,6.54495,3.09631,1624,16,940.455,289.909,181,613,677,1125,677,0,0,1848491.00,1848557.00,1848524.00,1876.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,221,1,0,0,3.13939,1662,12,946.824,435.088,181,613,677,1125,677,0,0,1846615.00,1846836.00,1846725.50,0.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,54,1,0,6.7122,3.10566,1662,12,700,297.778,181,613,677,1125,677,0,0,1846863.00,1846917.00,1846890.00,248.00,28
